date,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
4/27/2022,20.36361069,31.21947224,20.55796082,NA,19.70684717,20.69286494,16.6295543,NA,21.73771868,20.42847754,NA,19.119565,17.531667,24.830435,13.255
4/28/2022,22.67484224,25.61229186,20.02432774,NA,19.5788022,32.01988706,17.64576262,NA,19.84573084,20.18800098,NA,21.356667,16.998333,23.65,18.006522
4/29/2022,22.27614807,20.89113662,16.60348899,NA,16.42642738,20.24884817,13.6449052,NA,18.88496961,17.48681727,NA,16.265217,13.536667,22.943478,8.045652
4/30/2022,25.52157056,27.7550471,18.61343041,NA,17.52480939,26.00779455,14.67984794,NA,17.46433686,17.36643115,NA,22.068333,31.545,17.586667,27.401667
5/1/2022,26.37910356,25.27141693,19.97674574,NA,18.41206362,21.9340996,16.56251026,NA,18.97843556,18.5298655,NA,25.404348,13.565217,16.146667,15.95
5/2/2022,24.58154605,23.11496198,16.59974537,NA,16.21125648,29.0192735,15.22046556,NA,16.01500607,16.64463245,NA,18.944828,19.711667,14.293478,33.183333
5/3/2022,22.72493197,19.78566088,19.09064358,NA,19.92667286,27.24736317,15.56244494,NA,17.04285126,18.93259701,NA,11.548333,16.603333,15.923333,19.86
5/4/2022,24.00917228,25.78074689,25.10696391,NA,23.08086617,30.78932756,20.83060709,NA,21.47960917,22.21048808,NA,28.911667,26.538333,22.17,26.273333
5/5/2022,24.16969161,21.09850942,20.83172116,NA,17.74123779,21.33411199,15.3116392,NA,18.452417,18.60100209,NA,13.975,17.351667,22.02,14.816667
5/6/2022,30.7645635,22.64314871,20.57691657,NA,21.16558814,24.6096334,16.61308149,NA,19.2414921,20.04457958,NA,15.178333,16.223333,25.483333,13.667391
5/7/2022,24.25563569,23.1493216,24.72511318,NA,24.21571687,24.12612931,19.85767074,NA,24.19610452,23.89650257,NA,16.295652,9.865217,16.485,19.032609
5/8/2022,22.89811183,19.81475636,15.06756631,NA,12.54415865,16.61049217,10.83294033,NA,10.8945539,14.19582019,NA,14.493478,8.741667,17.736667,9.253333
5/9/2022,26.19646707,23.59931062,21.62996137,NA,20.22046822,24.82933648,15.89788339,NA,21.12299578,19.87478637,NA,18.333333,14.901667,21.101667,10.653333
5/10/2022,23.44360921,17.61597953,15.66398536,NA,15.02944235,17.54546758,13.06078,NA,15.16503586,15.52930497,NA,14.01087,11.81087,19.598333,7.718333
5/11/2022,21.2725958,20.10156786,18.15025129,NA,17.57256807,22.35470475,16.05974017,NA,18.31003223,18.09751171,NA,14.956667,13.143333,19.680435,9.731667
5/12/2022,24.62743525,16.26798357,13.5601569,NA,15.15898688,22.86311453,8.297238111,NA,11.18201505,12.54780428,NA,12.916667,9.395,14.458333,10.606667
5/13/2022,22.11246234,22.45081193,18.71347477,NA,17.04485395,22.08457282,14.56447264,NA,18.44433549,18.5308669,NA,20.310204,11.44902,13.626667,10.463333
