time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
4/27/2022,21.93382406,24.67850836,25.23566357,NA,26.92237765,22.81798444,30.42781433,NA,37.02892985,24.2507218,NA,33.98125,32.356042,37.782083,32.106667
4/28/2022,23.61928204,28.17239756,27.38051872,NA,28.1427311,21.80355265,31.50877208,NA,36.04790073,29.25558167,NA,33.459583,34.650621,35.455649,33.77
4/29/2022,23.66255845,28.30795297,30.553662,NA,32.25461329,29.7196835,33.71741643,NA,39.28898996,30.28012281,NA,34.510619,31.107083,39.32625,36.123333
4/30/2022,24.1765824,29.04216317,26.50716998,NA,28.88069869,22.67022114,32.02443436,NA,38.63183839,28.83618197,NA,36.661588,33.232708,33.518333,33.256458
5/1/2022,20.10825651,29.09833583,28.10683616,NA,31.37696105,31.33749673,32.49579713,NA,38.89976853,31.71747535,NA,39.440929,32.475,39.143958,35.404583
5/2/2022,18.25725944,23.5160073,21.19358593,NA,21.18357588,20.0001652,26.06095457,NA,30.86781582,20.55844362,NA,29.422124,30.675472,34.323958,29.260613
5/3/2022,17.29586386,22.86590449,20.10191285,NA,21.52734864,15.21993947,24.51905937,NA,29.00854398,20.68071125,NA,32.969167,27.331667,33.037917,23.206875
5/4/2022,14.23167607,21.58579271,15.95930856,NA,18.10335495,19.02922151,20.88770196,NA,22.18179197,16.03881896,NA,25.631042,21.493396,28.247708,24.377083
5/5/2022,21.42668657,26.18638814,25.8272706,NA,25.23157397,25.2225752,28.7446394,NA,28.62884854,25.27865978,NA,36.029583,32.865833,36.111042,36.476042
5/6/2022,24.56600257,31.15803789,25.39453284,NA,28.30951795,25.21083497,31.01068495,NA,34.6432325,28.39964791,NA,38.407083,35.423125,36.737708,34.334792
5/7/2022,33.16747753,31.19120193,36.74093847,NA,36.89502811,32.98703563,37.67646623,NA,45.92031107,39.54233332,NA,34.190129,34.159792,36.838958,31.369375
5/8/2022,23.94798701,30.7888795,29.66516296,NA,30.40344227,28.60010072,32.30030016,NA,39.72979298,31.36089031,NA,34.26615,31.417708,37.494583,32.558125
5/9/2022,20.16553887,25.94645205,21.18417671,NA,22.50069797,17.00840142,25.87845394,NA,33.56482358,23.8087494,NA,26.459071,23.763542,28.713542,24.833125
5/10/2022,15.02774962,23.39681775,21.59830265,NA,22.64291781,20.97481043,26.24873827,NA,27.80661249,21.68485508,NA,28.387265,26.072917,31.57,27.805631
5/11/2022,21.87653257,25.68388108,25.59187799,NA,25.91528867,22.61885773,27.8718078,NA,34.25801999,26.68240947,NA,32.736042,30.235,37.469167,30.090625
5/12/2022,26.02664138,29.25631762,30.40946789,NA,28.75165432,29.3894276,32.47811974,NA,33.58436519,30.65890692,NA,34.835841,33.375417,40.4775,32.419792
5/13/2022,19.78088399,24.2724306,21.48095607,NA,27.54858374,27.67779087,25.74944465,NA,31.1824946,21.89801958,NA,36.664375,31.251042,41.503958,29.902917
5/14/2022,13.91984038,21.02118289,19.46247569,NA,20.33043985,21.87841687,23.12125367,NA,22.85768931,19.34172833,NA,31.225107,26.745991,25.954375,26.368125
5/15/2022,13.89387521,18.53634906,15.5166493,NA,18.66202053,20.30182356,22.18972664,NA,22.19925896,15.84494758,NA,27.05885,27.274792,22.120417,23.968396
5/16/2022,27.20243078,39.00927793,34.70733833,NA,36.65999431,32.49332026,40.28712543,NA,44.53281764,35.66076491,NA,40.882917,39.19,43.999792,39.14375
