time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
4/27/2022,4.968812,5.594782,3.942955,NA,4.290613,4.492758,3.999076,NA,4.613272,4.25611778,NA,2.2484784,3.1200283,2.161005,1.6025289
4/28/2022,5.27302,5.054327,4.316955,NA,4.45042,4.926571,4.226182,NA,4.794382,4.27483456,NA,4.6391624,5.1709514,7.6395489,2.1819533
4/29/2022,6.110981,5.831582,4.766932,NA,4.947964,4.966411,4.472562,NA,4.931443,4.78011144,NA,3.8137297,5.911465,4.9897381,3.1115357
4/30/2022,5.200118,5.613913,4.266817,NA,4.365471,4.601312,3.9836,NA,4.755464,4.65500025,NA,4.4302902,3.836518,5.6233546,2.6216561
5/1/2022,6.101968,6.64617,5.606233,NA,5.514533,5.284468,4.717787,NA,5.409116,5.47918401,NA,5.5432931,5.3251946,5.8701345,5.534678
5/2/2022,5.236393,5.774537,4.666019,NA,4.640229,5.283646,4.134905,NA,5.026956,4.75596258,NA,5.9697806,5.1350318,4.964402,4.8388535
5/3/2022,6.792383,6.294315,5.374415,NA,5.247605,5.595846,4.500014,NA,5.653388,5.28370247,NA,3.2111111,3.1017693,4.1679406,4.8649682
5/4/2022,6.454525,6.489895,5.548425,NA,5.488598,5.645553,4.804797,NA,6.068947,5.58901997,NA,2.44862,2.0569002,3.6291578,2.4377919
5/5/2022,5.869715,5.370004,4.003156,NA,3.931434,4.093709,3.477971,NA,4.81072,4.08192815,NA,2.5080679,1.4825902,3.2392074,2.3837933
5/6/2022,5.034607,4.873969,4.096562,NA,4.106627,4.273505,3.754837,NA,4.432976,4.0046634,NA,2.6417847,3.0305025,3.0704176,3.7165605
5/7/2022,4.365141,4.866736,3.827536,NA,3.992164,4.135403,3.715143,NA,4.00715,3.97420782,NA,2.3085633,2.9794763,3.3229299,3.2593772
5/8/2022,3.867774,3.865393,3.182197,NA,3.435857,3.627503,3.202329,NA,3.286787,3.17873204,NA,1.5804533,1.5815994,1.9703258,1.7681529
5/9/2022,4.948399,4.840605,3.918653,NA,4.078,4.318304,3.671643,NA,4.133498,4.09099531,NA,4.2200425,4.5547063,3.733405,2.3336164
5/10/2022,5.344109,5.022691,4.423215,NA,4.290666,4.463753,3.970465,NA,4.632529,4.34814442,NA,4.4161222,4.061533,3.8195329,5.4483434
5/11/2022,4.975073,4.850882,4.132827,NA,3.950591,4.821676,3.738808,NA,4.296711,3.98149266,NA,2.9204674,2.6264685,3.6296532,4.2256374
5/12/2022,3.924121,3.909266,3.259451,NA,3.144911,3.482528,2.860199,NA,3.47816,3.21634776,NA,1.6680113,1.9661713,1.5730361,2.329724
5/13/2022,4.998722,7.102496,4.410869,NA,4.136346,4.442893,3.944139,NA,4.852054,4.39582475,NA,2.9026773,3.8056617,2.4231423,3.2772116
5/14/2022,4.201721,4.787275,3.716961,NA,3.616814,3.755229,3.195578,NA,3.939842,3.89402077,NA,3.6373494,1.3694268,5.9354565,1.9557679
5/15/2022,3.684403,3.613163,3.106691,NA,2.623885,2.902726,2.360306,NA,3.123199,2.8646466,NA,5.0601983,1.0474876,6.5057325,3.7845718
5/16/2022,3.448436,3.358158,2.810448,NA,2.948377,3.269748,2.612375,NA,3.059826,2.79212322,NA,4.1490085,1.7834395,3.6755131,4.1755839
5/17/2022,5.923317,4.836115,4.379502,NA,4.308792,4.498151,4.000428,NA,4.686644,4.29259901,NA,3.4747518,3.6145789,3.1122435,4.0576787
5/18/2022,3.6773,3.723337,3.284331,NA,3.389611,3.440061,3.089801,NA,3.389928,3.42184041,NA,2.4316312,2.8421798,2.3280652,2.7233546
5/19/2022,3.280648,3.30766,2.671018,NA,2.966967,2.99569,2.803794,NA,2.874075,2.80640043,NA,2.3391643,2.9433121,3.3541401,2.8323425
5/20/2022,4.463047,4.251073,3.439501,2.196369,3.637514,3.778534,3.311057,1.351664,3.948142,3.42105658,NA,4.2651064,5.1850672,4.5496108,4.0700637
5/21/2022,4.765025,4.372767,3.731129,3.491088,3.904222,4.115458,3.409317,2.770803,4.396235,3.68128604,NA,5.5021262,4.158811,4.2268224,5.3226629
5/22/2022,5.132449,4.172433,3.881354,3.368372,4.020481,3.967279,3.362231,2.569494,3.732654,3.4420447,NA,4.8390658,4.8059448,5.1313517,4.4815287
5/23/2022,5.72168,5.174096,4.959652,4.257893,5.096474,4.826134,4.404129,2.686803,4.64776,4.84546879,4.13094,6.9725407,6.2353857,7.4973107,5.1573248
5/24/2022,6.072137,5.529302,5.095618,4.491278,5.461937,5.152102,4.403892,3.79233,5.050835,4.98303765,5.301982,6.2309659,5.7065434,4.6037509,4.6024823
5/25/2022,5.157784,4.691948,3.631187,3.242073,3.752954,3.705115,3.349748,2.93703,3.687929,NA,4.139581,4.1896552,3.1838527,3.7395668,3.4087757
5/26/2022,5.3986,5.670813,4.679352,4.202471,4.589058,5.063926,4.180015,3.858469,5.302483,NA,4.958334,7.4492569,4.8418259,5.6236377,2.3858375
5/27/2022,3.079921,3.290721,2.556286,2.096287,2.648071,2.860892,2.326732,1.772363,2.585402,NA,2.693974,3.8053786,1.2694405,3.0645435,2.2113234
5/28/2022,3.808612,3.994863,3.052721,2.733426,3.262203,3.476272,2.964626,2.412153,3.306763,NA,3.181793,2.1377212,1.3765747,2.1473461,3.052017
5/29/2022,5.119257,4.7975,4.346418,3.98567,4.560918,4.477679,3.865175,3.076064,4.619428,NA,4.632852,5.8819149,4.0098372,4.0321302,3.8883935
5/30/2022,6.015325,6.481934,5.294827,4.836767,5.470702,5.562494,4.774363,4.336086,5.592248,NA,6.053695,8.1117021,4.996603,6.2195329,3.7669498
5/31/2022,5.742237,6.235323,4.840188,4.716936,5.266889,5.554753,4.643709,3.565546,5.459601,NA,5.11273,6.5607371,4.7275301,6.642109,5.3346445
6/1/2022,5.563484,5.089989,4.440764,3.960446,4.474895,4.718764,3.948709,3.302928,4.599815,NA,5.253258,5.4148017,4.7745223,5.3865534,3.8932767
6/2/2022,4.761561,4.428853,3.749386,3.457345,4.012351,4.161763,3.445113,2.586944,3.854333,NA,3.603351,7.3880396,5.4220099,6.2399858,4.2336164
6/3/2022,4.857741,4.296866,3.238744,2.855867,3.269419,3.408348,2.721253,2.668014,4.727179,NA,3.711316,4.6870488,3.768436,4.6251238,2.6707714
6/4/2022,3.570779,2.936724,1.957769,1.68275,1.940615,2.12345,1.709864,1.734375,NA,NA,2.182453,2.7045294,2.668719,1.8501769,2.0072895
6/5/2022,2.530059,2.392618,1.72888,1.521125,1.691513,1.878711,1.376241,1.456321,3.607376,NA,1.841846,2.4554848,2.0966737,4.0667374,1.636518
6/6/2022,3.754212,3.173145,2.576646,2.149031,2.900502,3.025526,2.416131,1.795169,2.73295,NA,2.764542,1.8963199,2.6117481,1.7636235,2.5844303
6/7/2022,4.22242,3.911716,3.815065,3.317884,3.612224,4.197099,3.217131,2.779185,3.725181,NA,3.494366,4.9914894,4.8641189,3.354494,2.6380042
6/8/2022,4.690252,3.303276,2.548172,2.034534,2.827237,2.691393,2.32645,1.648681,2.352468,NA,3.61107,3.5913659,3.9864119,5.3049483,2.9693362
6/9/2022,4.680332,4.112363,3.249749,2.867185,3.028764,3.319451,2.671302,3.103489,3.377619,NA,3.584918,2.4834395,2.5995046,3.3067233,1.384218
6/10/2022,3.033454,3.320829,2.161198,1.773577,2.136169,2.447795,1.794293,1.920172,3.056819,NA,2.405685,3.259448,2.2797414,3.2142251,1.3042493
6/11/2022,2.93304,2.561118,1.817123,1.395405,2.10251,2.054243,1.664637,1.316222,NA,NA,1.841862,1.6299363,1.8794055,1.4313517,1.7849858
6/12/2022,3.62954,3.220199,2.819489,2.377916,3.223848,2.966454,2.648814,1.939992,NA,NA,2.924418,3.1795471,2.7905166,1.6395612,2.3745571
6/13/2022,3.003527,2.636596,2.656966,2.350888,3.028662,2.921248,2.525136,1.986645,NA,NA,2.669436,2.2627035,2.1232295,1.7630573,2.3364989
6/14/2022,5.416686,4.959934,4.930933,4.413193,5.150827,5.27929,4.456883,3.331566,NA,NA,4.990944,4.6731776,3.8559094,2.597523,4.9039007
6/15/2022,6.733001,6.849503,6.399725,6.003979,6.366874,6.425259,5.644885,4.97364,NA,NA,7.36159,7.5414013,4.2138004,5.5176929,4.7480142
6/16/2022,7.454157,8.362749,6.810694,6.604307,6.939574,6.691783,6.306858,5.134164,NA,NA,7.701893,8.9036801,6.2293701,9.4256192,4.4098582
6/17/2022,4.568703,4.359026,3.696015,3.439587,3.812959,3.927441,3.298729,2.938999,NA,NA,3.883476,2.7178344,2.1990092,1.8626327,2.8500709
6/18/2022,5.562036,5.889491,4.73394,4.167451,4.660607,4.661573,4.183357,3.950513,NA,NA,5.293734,4.8305732,3.9031847,2.6610757,3.8008511
6/19/2022,6.751575,5.697856,5.081685,4.598139,5.242406,4.916506,4.3539,3.636337,NA,NA,5.31917,3.8069356,3.7760793,3.3215853,4.4587527
6/20/2022,5.297351,4.963824,4.208582,3.600396,4.480133,4.393863,3.77127,2.738632,NA,NA,4.491394,3.9184006,3.4128096,3.368719,3.9799291
6/21/2022,6.194349,5.695175,4.687579,4.219821,4.740272,4.978376,4.026778,3.653482,NA,NA,5.36154,5.4821928,5.4202406,3.7278839,3.7233333
6/22/2022,3.184138,2.098507,1.589502,1.536914,1.899768,2.010902,1.511779,1.284101,NA,NA,1.977065,3.2526539,2.5057325,2.5244203,1.8733237
