date,1001_PM,1002_PM,1004_PM,1005_PM,1008_PM,1009_PM,1011_PM,1012_PM,1039_PM,1040_PM,1041_PM,BS_PM,BK_PM,RS_PM,MP_PM,1001_NO2,1002_NO2,1004_NO2,1005_NO2,1008_NO2,1009_NO2,1011_NO2,1012_NO2,1039_NO2,1040_NO2,1041_NO2,BS_NO2,BK_NO2,RS_NO2,MP_NO2,1001_O3,1002_O3,1004_O3,1005_O3,1008_O3,1009_O3,1011_O3,1012_O3,1039_O3,1040_O3,1041_O3,BS_O3,BK_O3,RS_O3,MP_O3
4/27/2022,4.968812,5.594782,3.942955,NA,4.290613,4.492758,3.999076,NA,4.613272,4.25611778,NA,2.2484784,3.1200283,2.161005,1.6025289,20.36361069,31.21947224,20.55796082,NA,19.70684717,20.69286494,16.6295543,NA,21.73771868,20.42847754,NA,19.119565,17.531667,24.830435,13.255,21.93382406,24.67850836,25.23566357,NA,26.92237765,22.81798444,30.42781433,NA,37.02892985,24.2507218,NA,33.98125,32.356042,37.782083,32.106667
4/28/2022,5.27302,5.054327,4.316955,NA,4.45042,4.926571,4.226182,NA,4.794382,4.27483456,NA,4.6391624,5.1709514,7.6395489,2.1819533,22.67484224,25.61229186,20.02432774,NA,19.5788022,32.01988706,17.64576262,NA,19.84573084,20.18800098,NA,21.356667,16.998333,23.65,18.006522,23.61928204,28.17239756,27.38051872,NA,28.1427311,21.80355265,31.50877208,NA,36.04790073,29.25558167,NA,33.459583,34.650621,35.455649,33.77
4/29/2022,6.110981,5.831582,4.766932,NA,4.947964,4.966411,4.472562,NA,4.931443,4.78011144,NA,3.8137297,5.911465,4.9897381,3.1115357,22.27614807,20.89113662,16.60348899,NA,16.42642738,20.24884817,13.6449052,NA,18.88496961,17.48681727,NA,16.265217,13.536667,22.943478,8.045652,23.66255845,28.30795297,30.553662,NA,32.25461329,29.7196835,33.71741643,NA,39.28898996,30.28012281,NA,34.510619,31.107083,39.32625,36.123333
4/30/2022,5.200118,5.613913,4.266817,NA,4.365471,4.601312,3.9836,NA,4.755464,4.65500025,NA,4.4302902,3.836518,5.6233546,2.6216561,25.52157056,27.7550471,18.61343041,NA,17.52480939,26.00779455,14.67984794,NA,17.46433686,17.36643115,NA,22.068333,31.545,17.586667,27.401667,24.1765824,29.04216317,26.50716998,NA,28.88069869,22.67022114,32.02443436,NA,38.63183839,28.83618197,NA,36.661588,33.232708,33.518333,33.256458
5/1/2022,6.101968,6.64617,5.606233,NA,5.514533,5.284468,4.717787,NA,5.409116,5.47918401,NA,5.5432931,5.3251946,5.8701345,5.534678,26.37910356,25.27141693,19.97674574,NA,18.41206362,21.9340996,16.56251026,NA,18.97843556,18.5298655,NA,25.404348,13.565217,16.146667,15.95,20.10825651,29.09833583,28.10683616,NA,31.37696105,31.33749673,32.49579713,NA,38.89976853,31.71747535,NA,39.440929,32.475,39.143958,35.404583
5/2/2022,5.236393,5.774537,4.666019,NA,4.640229,5.283646,4.134905,NA,5.026956,4.75596258,NA,5.9697806,5.1350318,4.964402,4.8388535,24.58154605,23.11496198,16.59974537,NA,16.21125648,29.0192735,15.22046556,NA,16.01500607,16.64463245,NA,18.944828,19.711667,14.293478,33.183333,18.25725944,23.5160073,21.19358593,NA,21.18357588,20.0001652,26.06095457,NA,30.86781582,20.55844362,NA,29.422124,30.675472,34.323958,29.260613
5/3/2022,6.792383,6.294315,5.374415,NA,5.247605,5.595846,4.500014,NA,5.653388,5.28370247,NA,3.2111111,3.1017693,4.1679406,4.8649682,22.72493197,19.78566088,19.09064358,NA,19.92667286,27.24736317,15.56244494,NA,17.04285126,18.93259701,NA,11.548333,16.603333,15.923333,19.86,17.29586386,22.86590449,20.10191285,NA,21.52734864,15.21993947,24.51905937,NA,29.00854398,20.68071125,NA,32.969167,27.331667,33.037917,23.206875
5/4/2022,6.454525,6.489895,5.548425,NA,5.488598,5.645553,4.804797,NA,6.068947,5.58901997,NA,2.44862,2.0569002,3.6291578,2.4377919,24.00917228,25.78074689,25.10696391,NA,23.08086617,30.78932756,20.83060709,NA,21.47960917,22.21048808,NA,28.911667,26.538333,22.17,26.273333,14.23167607,21.58579271,15.95930856,NA,18.10335495,19.02922151,20.88770196,NA,22.18179197,16.03881896,NA,25.631042,21.493396,28.247708,24.377083
5/5/2022,5.869715,5.370004,4.003156,NA,3.931434,4.093709,3.477971,NA,4.81072,4.08192815,NA,2.5080679,1.4825902,3.2392074,2.3837933,24.16969161,21.09850942,20.83172116,NA,17.74123779,21.33411199,15.3116392,NA,18.452417,18.60100209,NA,13.975,17.351667,22.02,14.816667,21.42668657,26.18638814,25.8272706,NA,25.23157397,25.2225752,28.7446394,NA,28.62884854,25.27865978,NA,36.029583,32.865833,36.111042,36.476042
5/6/2022,5.034607,4.873969,4.096562,NA,4.106627,4.273505,3.754837,NA,4.432976,4.0046634,NA,2.6417847,3.0305025,3.0704176,3.7165605,30.7645635,22.64314871,20.57691657,NA,21.16558814,24.6096334,16.61308149,NA,19.2414921,20.04457958,NA,15.178333,16.223333,25.483333,13.667391,24.56600257,31.15803789,25.39453284,NA,28.30951795,25.21083497,31.01068495,NA,34.6432325,28.39964791,NA,38.407083,35.423125,36.737708,34.334792
