Type,Name,ID,latitude,longitude
Low-cost sensor,RAMP 1001,R1001,49.284,-123.097
Low-cost sensor,RAMP 1002,R1002,49.281,-123.101
Low-cost sensor,RAMP 1004,R1004,49.279,-123.085
Low-cost sensor,RAMP 1005,R1005,49.278,-123.091
Low-cost sensor,RAMP 1008,R1008,49.277,-123.086
Low-cost sensor,RAMP 1009,R1009,49.281,-123.074
Low-cost sensor,RAMP 1011,R1011,49.279,-123.092
Low-cost sensor,RAMP 1012,R1012,49.282,-123.099
Low-cost sensor,RAMP 1039,R1039,49.28,-123.093
Low-cost sensor,RAMP 1040,R1040,49.28,-123.082
Low-cost sensor,RAMP 1041,R1041,49.282,-123.088
Regulatory Metro Vancouver,Burnaby South,BS,49.2152,-122.9857
Regulatory Metro Vancouver,Burnaby Kensington,BK,49.2792,-122.9707
Regulatory Metro Vancouver,Richmond South,RS,49.1414,-123.1082
Regulatory Metro Vancouver,Mahon Park,MP,49.324,-123.0835
